y	m	d	Mondovi_Simn	Mondovi_arpa
1994	8	23	0	0
1994	8	24	1.8	1.4
1994	8	25	18.6	16.8
1994	8	26	0	0
1994	8	27	0	0
1994	8	28	0	0
1994	8	29	0	0
1994	8	30	0	0
1994	8	31	0.2	0.6
1994	9	1	11.4	11
1994	9	2	7.6	7
1994	9	3	16.6	17.6
1994	9	4	0	0
1994	9	5	0	0
1994	9	6	0	0
1994	9	7	0	0
1994	9	8	0	0
1994	9	9	18.4	18.6
1994	9	10	0	0
1994	9	11	0	0
1994	9	12	0	0
1994	9	13	0	0.6
1994	9	14	5.2	12.8
1994	9	15	24.2	13.6
1994	9	16	0	0
1994	9	17	1.8	2.2
1994	9	18	0.6	0.6
1994	9	19	0	0
1994	9	20	0	0
1994	9	21	0	1.8
1994	9	22	21.6	19
1994	9	23	39.2	37.2
1994	9	24	42	39.2
1994	9	25	1.6	1.4
1994	9	26	20.2	16.6
1994	9	27	26	24.6
1994	9	28	0	0
1994	9	29	0	0.2
1994	9	30	0	0
1994	10	1	2.4	2.6
1994	10	2	0	0
1994	10	3	0	0
1994	10	4	0	0.2
1994	10	5	0	0
1994	10	6	0	0
1994	10	7	0	0
1994	10	8	0	0
1994	10	9	0	0
1994	10	10	0	0
1994	10	11	0	0
1994	10	12	0	0
1994	10	13	0	0
1994	10	14	0	0
1994	10	15	0	0
1994	10	16	0	0
1994	10	17	0	0.2
1994	10	18	0	0
1994	10	19	0	0
1994	10	20	27.2	32.4
1994	10	21	17.2	18.6
1994	10	22	8.2	5.4
1994	10	23	1.6	3.8
1994	10	24	9.2	5.2
1994	10	25	0	0
1994	10	26	0	0.2
1994	10	27	0	0
1994	10	28	2.6	4.2
1994	10	29	10.8	13.6
1994	10	30	0	0.2
1994	10	31	0	0
1994	11	1	0	0
1994	11	2	0	0.2
1994	11	3	6	7.6
1994	11	4	3.2	5
1994	11	5	30.6	41
1994	11	6	80.2	85.8
1994	11	7	10	15.4
1994	11	8	18	29.8
1994	11	9	0.4	1
1994	11	10	2.8	6
1994	11	11	0	0
1994	11	12	0	0
1994	11	13	0	0
1994	11	14	0	0.2
1994	11	15	0	0.2
1994	11	16	0	0.2
1994	11	17	0	0
1994	11	18	0	0.2
1994	11	19	0	0
1994	11	20	0	0.2
1994	11	21	0	0.2
1994	11	22	0	0.2
1994	11	23	0	0
1994	11	24	0	0.2
1994	11	25	0	0.2
1994	11	26	0	0
1994	11	27	0	0
1994	11	28	0	0
1994	11	29	0	0
1994	11	30	0	0
1994	12	1	0	0
1994	12	2	0	0
1994	12	3	0	0
1994	12	4	0	0
1994	12	5	0	0.2
1994	12	6	0	0
1994	12	7	0	0.2
1994	12	8	0	0
1994	12	9	0	0
1994	12	10	0	0.2
1994	12	11	0	0
1994	12	12	0	0
1994	12	13	0.4	0
1994	12	14	0	0
1994	12	15	0	0.2
1994	12	16	0	0
1994	12	17	0	0
1994	12	18	0	0.2
1994	12	19	0	0
1994	12	20	9.6	5.2
1994	12	21	1.4	2.2
1994	12	22	0.2	0
1994	12	23	4.6	3
1994	12	24	0	0
1994	12	25	0.4	0.2
1994	12	26	0	0
1994	12	27	0	0
1994	12	28	0	0
1994	12	29	0	0
1994	12	30	0	0
1994	12	31	0	0
1995	1	1	0	0
1995	1	2	0	0
1995	1	3	0	0
